Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1650.2,30,0.326,2.3012,1.5031,2.513,1.3153
1652.15,30,0.364,2.0391,1.327,2.434,1.2125
1654.15,30,0.344,2.2921,1.4573,2.4988,
1656.1,30,0.331,2.3359,1.503,2.6263,1.3301
1659.16,30,0.325,2.3826,1.5346,2.6724,1.3169
1664.91,30,0.297,2.4478,1.5609,2.9026,1.4077
1666.2,30,0.319,2.3546,1.447,2.6194,1.2807
1668.25,30,0.307,2.3112,1.5266,2.5749,1.2803
1670.45,30,0.292,2.2966,1.5077,2.5409,
1672,30,0.329,2.2241,1.3943,2.6604,1.2704
1675.06,30,0.346,2.2133,1.4072,2.5192,
1677.15,30,0.262,2.337,1.4781,2.5232,1.2657
1679.1,30,0.305,2.5155,1.5489,2.7022,1.3485
1681.18,30,0.356,2.3693,1.5003,2.6308,1.3513
1683.25,30,0.33,2.2882,1.4392,2.7472,1.3915
1685.12,30,0.337,2.3802,1.5747,2.7742,1.2859
1689,30,0.337,2.224,1.4061,2.6781,1.2722
1691,30,0.348,2.3272,1.4069,2.6485,1.2296
1693.6,30,0.337,2.1921,1.3777,2.6681,
1695.05,30,0.354,2.1867,1.3774,2.6142,1.2567
1697.9,30,0.316,2.2795,1.4475,2.4896,1.2454
1699.1,30,0.243,2.6038,1.7353,3.0329,1.5547
1701.9,30,0.269,2.7265,1.7265,2.9422,1.4937
1703.1,30,0.222,2.6754,1.7398,3.0098,1.5239
1706.1,30,0.25,2.5253,1.6761,2.9532,1.4812
1708.1,30,0.234,2.5411,1.6589,2.8552,1.4543
1717.9,30,0.325,2.2672,1.4639,2.6057,1.2299
1719.1,30,0.304,2.3894,1.5048,2.7418,
1721.1,30,0.33,2.2023,1.3918,2.5639,1.2363
1723.64,30,0.348,2.2521,1.4408,2.716,1.2956
1725.1,30,0.344,2.3369,1.5414,2.781,1.3083
1729.1,30,0.259,2.6988,1.7079,2.9842,1.485
1731.3,30,0.315,2.313,1.4872,2.7479,1.2251
1735.1,30,0.295,2.5567,1.7069,2.7567,1.4636
1737.1,30,0.236,2.674,1.7632,3.0107,1.5374
1739.1,30,0.29,2.5619,1.6315,2.8555,1.4598
1741.1,30,0.23,2.7551,1.8341,3.1399,1.661
1745.1,30,0.264,2.775,1.7566,3.0156,1.6052
