Pressure (Mpa),Pressure (psi),Sample Name,Direction,Vp_dry,Vs_dry,Vp_wet,Vs_wet
3.45,500,Glass Beads - 100uGB,0,4.23,2.446,4.071,2.223
5.17,750,Glass Beads - 100uGB,0,4.252,2.467,4.094,2.223
6.89,1000,Glass Beads - 100uGB,0,4.256,2.449,4.092,2.226
10.34,1500,Glass Beads - 100uGB,0,4.239,2.452,4.089,2.243
17.24,2500,Glass Beads - 100uGB,0,4.268,2.454,4.099,2.257
20.68,3000,Glass Beads - 100uGB,0,4.281,2.454,4.141,2.26
3.45,500,Glass Beads - 100uGB,45,4.276,2.467,4.053,2.244
5.17,750,Glass Beads - 100uGB,45,4.26,2.447,4.06,2.247
6.89,1000,Glass Beads - 100uGB,45,4.232,2.44,4.055,2.247
10.34,1500,Glass Beads - 100uGB,45,4.266,2.439,4.039,2.269
17.24,2500,Glass Beads - 100uGB,45,4.255,2.435,4.069,2.281
20.68,3000,Glass Beads - 100uGB,45,4.228,2.439,4.069,2.29
3.45,500,Berea Buff - BB H3,0,3.083,2.078,3.307,1.91
5.17,750,Berea Buff - BB H3,0,3.217,2.105,3.403,1.995
6.89,1000,Berea Buff - BB H3,0,3.349,2.165,3.452,2.045
10.34,1500,Berea Buff - BB H3,0,3.514,2.244,3.56,2.149
13.79,2000,Berea Buff - BB H3,0,3.599,2.297,3.682,2.201
17.24,2500,Berea Buff - BB H3,0,3.67,2.335,3.705,2.229
20.68,3000,Berea Buff - BB H3,0,3.74,2.385,3.713,2.252
3.45,500,Berea Buff - BB H3,45,3.134,2.011,3.348,1.88
5.17,750,Berea Buff - BB H3,45,3.287,2.096,3.445,1.999
6.89,1000,Berea Buff - BB H3,45,3.399,2.156,3.515,2.064
10.34,1500,Berea Buff - BB H3,45,3.554,2.227,3.604,2.137
13.79,2000,Berea Buff - BB H3,45,3.639,2.292,3.712,2.239
17.24,2500,Berea Buff - BB H3,45,3.702,2.323,3.73,2.264
20.68,3000,Berea Buff - BB H3,45,3.786,2.359,3.795,2.309
20.68,3000,Berea Buff - BB H3,0,3.75,2.404,3.713,2.252
17.24,2500,Berea Buff - BB H3,0,3.714,2.37,3.655,2.235
13.79,2000,Berea Buff - BB H3,0,3.666,2.324,3.615,2.201
10.34,1500,Berea Buff - BB H3,0,3.578,2.285,3.567,2.171
6.89,1000,Berea Buff - BB H3,0,3.425,2.204,3.491,2.086
3.45,500,Berea Buff - BB H3,0,3.143,2.086,3.333,1.943
20.68,3000,Berea Buff - BB H3,45,3.798,2.37,3.795,2.309
17.24,2500,Berea Buff - BB H3,45,3.768,2.338,3.757,2.281
13.79,2000,Berea Buff - BB H3,45,3.7,2.313,3.709,2.247
10.34,1500,Berea Buff - BB H3,45,3.59,2.275,3.668,2.202
6.89,1000,Berea Buff - BB H3,45,3.459,2.185,3.571,2.084
3.45,500,Berea Buff - BB H3,45,3.176,2.041,3.38,1.94
1.72,250,Berea Regular - BR H2,0,2.664,1.87,2.948,1.695
3.45,500,Berea Regular - BR H2,0,3.019,1.972,3.068,1.862
5.17,750,Berea Regular - BR H2,0,3.117,2.058,3.215,1.971
6.89,1000,Berea Regular - BR H2,0,3.165,2.091,3.367,2.052
10.34,1500,Berea Regular - BR H2,0,3.331,2.161,3.464,2.158
13.79,2000,Berea Regular - BR H2,0,3.395,2.215,3.535,2.185
17.24,2500,Berea Regular - BR H2,0,3.463,2.252,3.588,2.225
20.68,3000,Berea Regular - BR H2,0,3.545,2.311,3.63,2.246
1.72,250,Berea Regular - BR H2,45,2.847,1.835,3.033,1.696
3.45,500,Berea Regular - BR H2,45,3.025,1.963,3.185,1.878
5.17,750,Berea Regular - BR H2,45,3.141,2.036,3.28,2.015
6.89,1000,Berea Regular - BR H2,45,3.191,2.112,3.373,2.096
10.34,1500,Berea Regular - BR H2,45,3.334,2.214,3.498,2.179
13.79,2000,Berea Regular - BR H2,45,3.405,2.275,3.592,2.248
17.24,2500,Berea Regular - BR H2,45,3.508,2.325,3.642,2.273
20.68,3000,Berea Regular - BR H2,45,3.571,2.367,3.702,2.313
1.72,250,Berea Regular - BR H2,90,2.609,1.85,3.005,1.605
3.45,500,Berea Regular - BR H2,90,2.946,1.949,3.171,1.885
5.17,750,Berea Regular - BR H2,90,3.156,2.024,3.291,1.9
6.89,1000,Berea Regular - BR H2,90,3.22,2.062,3.394,1.971
10.34,1500,Berea Regular - BR H2,90,3.362,2.158,3.532,2.069
13.79,2000,Berea Regular - BR H2,90,3.446,2.221,3.604,2.135
17.24,2500,Berea Regular - BR H2,90,3.525,2.25,3.671,2.181
20.68,3000,Berea Regular - BR H2,90,3.606,2.293,3.705,2.217
20.68,3000,Berea Regular - BR H2,0,3.545,2.311,3.63,2.246
17.24,2500,Berea Regular - BR H2,0,3.487,2.258,3.599,2.234
13.79,2000,Berea Regular - BR H2,0,3.434,2.225,3.545,2.221
10.34,1500,Berea Regular - BR H2,0,3.356,2.201,3.474,2.17
6.89,1000,Berea Regular - BR H2,0,3.197,2.123,3.396,2.094
5.17,750,Berea Regular - BR H2,0,3.083,2.055,3.258,2.007
3.45,500,Berea Regular - BR H2,0,2.877,1.955,3.181,1.891
1.72,250,Berea Regular - BR H2,0,2.698,1.828,2.941,1.704
20.68,3000,Berea Regular - BR H2,45,3.571,2.367,3.702,2.313
