Pressure (psi),Sample Name,Porosity
500,Berea Buff - BB H3,18.98
750,Berea Buff - BB H3,18.86
1000,Berea Buff - BB H3,18.78
1500,Berea Buff - BB H3,18.7
2000,Berea Buff - BB H3,18.63
3000,Berea Buff - BB H3,18.54
500,Berea Regular - BR H2,20.55
750,Berea Regular - BR H2,20.41
1000,Berea Regular - BR H2,20.34
1500,Berea Regular - BR H2,20.23
2000,Berea Regular - BR H2,20.16
3000,Berea Regular - BR H2,20.03
500,Castle Gate - CG H3,26.01
750,Castle Gate - CG H3,25.74
1000,Castle Gate - CG H3,25.63
1500,Castle Gate - CG H3,25.48
2000,Castle Gate - CG H3,25.36
3000,Castle Gate - CG H3,25.16
500,Carbon Tan - CT H1,16.54
750,Carbon Tan - CT H1,16.39
1000,Carbon Tan - CT H1,16.31
1500,Carbon Tan - CT H1,16.2
2000,Carbon Tan - CT H1,16.13
3000,Carbon Tan - CT H1,15.98
500,Nugget SS - NU H2,15.68
750,Nugget SS - NU H2,15.63
1000,Nugget SS - NU H2,15.61
1500,Nugget SS - NU H2,15.51
2000,Nugget SS - NU H2,15.46
3000,Nugget SS - NU H2,15.38
