Sample name,Clay,Vp_wet,Vs_wet,Porosity,Vp_dry,Vs_dry,K_sat,Pressure
FONT A,0,4.81,3.1,0.1539,4.75,3.15,24.6,40
FONT B,0,4.46,2.85,0.1973,4.36,2.89,21,40
FONT C,0,5.42,3.55,0.0746,5.32,3.55,31.8,40
FONT D,0,5.74,3.77,0.055,5.68,3.78,35.6,40
FONT E,0,5.34,3.51,0.0973,5.33,3.56,30,40
FONT G,0,4.68,2.96,0.1769,4.66,3.02,24,40
FONT H,0,4.34,2.7,0.2235,4.26,2.76,20.7,40
PETERA,0,4.66,2.91,0.1821,4.55,2.95,24.3,40
PETERV,0,4.42,2.72,0.1989,4.31,2.79,22.2,40
BEAVER,0,5.52,3.6,0.0636,5.27,3.56,33.4,40
IDLIGHT,0.1,3.68,2.22,0.2355,3.65,2.36,15.6,40
IDDARK,0.16,3.36,1.99,0.2597,3.27,2.15,14.4,40
IDLIGHT1,0.1,3.69,2.17,0.2403,3.54,2.28,16.7,40
REDSTONE,0.28,3.82,2.07,0.1589,3.54,2.09,21,40
COCONINO,0.06,4.73,3,0.1056,4.69,3.07,25.5,40
CONATTON,0.04,3.92,2.35,0.2297,3.81,2.49,17.9,40
DETANBUF,0.03,4.6,2.81,0.1546,4.61,3.01,25.3,40
DELBROWN,0.05,4.73,2.89,0.1056,4.47,2.92,27.8,40
BOISE,0.06,3.74,2.08,0.2536,3.61,2.2,17.9,40
DLITGRY,0.07,5.2,3.17,0.0412,4.94,3.16,35.1,40
SANTABAR,0.27,4.06,2.24,0.1256,3.75,2.36,23.7,40
MASDARK1,0.06,4.3,2.57,0.1807,4.2,2.69,22.9,40
INDDARK1,0.16,3.54,2.05,0.2557,3.46,2.21,15.8,40
UTAHBUFF,0.06,4.94,3.12,0.0569,4.8,3.21,28.4,40
TORY-AV,0.14,4.23,2.41,0.1309,4.06,2.62,25,40
MASSDARK,0.06,4.32,2.62,0.1761,4.22,2.71,22.4,40
MASSILIA,0.04,4.03,2.4,0.2072,3.92,2.51,19.6,40
UNH1,0.05,4.18,2.5,0.188,4.14,2.64,21.4,40
NUGGETV,0.08,4.69,2.94,0.0912,4.48,3.01,27,40
NUGGETH,0.08,4.88,3.05,0.092,4.74,3.12,29.6,40
MASSBURG,0.03,3.89,2.37,0.2369,3.82,2.48,17.4,40
BEREA1,0.06,4.15,2.51,0.1903,4.04,2.62,20.6,40
BEREA4,0.03,3.95,2.39,0.2165,3.84,2.5,18.2,40
BEREA35,0.06,4.03,2.4,0.2213,3.91,2.49,19.6,40
BEREA5,0.09,4.08,2.54,0.1887,3.99,2.63,18.6,40
P61-5561,0.38,4.37,2.62,0.0634,4.11,2.78,25.4,40
P63-6249,0.4,4.24,2.49,0.0719,4.06,2.72,24.9,40
P63-6254,0.37,4.08,2.34,0.118,3.92,2.56,23.3,40
P64-6256,0.4,4.24,2.52,0.0885,4.02,2.65,24,40
P64-6258,0.35,4.17,2.43,0.0927,3.97,2.7,24.3,40
P64-6260,0.45,4.32,2.57,0.0677,4.06,2.77,25.4,40
P64-6264,0.13,4.47,2.64,0.1402,4.24,2.72,26.3,40
P72-7154,0.14,4.32,2.55,0.1632,4.16,2.71,24.2,40
P74-8797,0.1,4.24,2.51,0.156,4.11,2.63,22.9,40
P82-7377,0.11,4.23,2.43,0.1735,4.17,2.61,23.7,40
P82-7379,0.16,4.19,2.42,0.1696,4.11,2.63,23.3,40
G-10379,0.44,3.71,1.97,0.1278,3.33,2.14,20.6,40
G-10381,0.46,3.63,1.99,0.131,3.19,2.1,18.7,40
G-10392,0.51,3.68,2.01,0.1146,3.1,2.02,19.6,40
G-10431,0.11,3.2,1.75,0.2993,3.09,1.91,12.6,40
G-10432,0.12,3.17,1.77,0.2945,3.03,1.92,12.4,40
G-12409B,0.27,4,2.16,0.1454,3.49,2.19,23.1,40
G-12415,0.22,3.36,1.89,0.2435,3.27,2.09,14.2,40
G-12416,0.12,3.55,1.94,0.2531,3.41,2.13,16.6,40
G-12418,0.37,3.76,2.11,0.143,3.23,2.12,19.8,40
G-12425,0.44,3.84,2.15,0.1089,3.41,2.23,21.3,40
G-10452,0.41,3.97,2.19,0.0937,3.32,2.21,23.2,40
G-12550H,0.27,3.98,2.19,0.1434,3.59,2.18,22.5,40
G-12670,0.08,3.67,2.2,0.2625,3.57,2.32,15.2,40
G-12674,0.06,3.61,2.09,0.2679,3.52,2.24,16.2,40
G-12676,0.11,3.56,2.07,0.2785,3.45,2.2,14.8,40
G-12677,0.07,3.5,1.99,0.2655,3.41,2.15,15.1,40
G-12677b,0.07,3.59,2.09,0.2742,3.44,2.21,14.9,40
G-14807,0.11,3.88,2.23,0.2021,3.71,2.33,19.2,40
G-15845,0.21,4.25,2.48,0.1089,3.86,2.47,24.3,40
G-15879,0.06,4.61,2.73,0.1508,4.35,2.73,27.1,40
G-158**,0.23,4.42,2.61,0.1021,3.99,2.6,25.8,40
G-15930,0.24,4.6,2.77,0.0586,3.65,2.51,28.8,40
G-15949,0.18,4.07,2.37,0.1442,3.78,2.32,21.5,40
