Sample nbr,Porosity,Eff pressure,Direction,Vp dry,Vs dry,Vp wet,Vs wet
367 P ,0.3022,35,1,3.35,2.1297,3.5163,
158 P,0.2534,35,1,3.6234,2.267,3.8094,
174 P,0.2613,35,1,3.7195,2.4891,3.903,
147 P,0.2935,35,1,3.3827,2.1138,3.625,
200 P,0.2628,35,1,3.5756,2.1885,3.7912,
136 P,0.276,35,1,3.5404,2.1639,3.7077,
218 P,0.2886,35,1,3.4505,2.1173,3.6766,
236 P,0.2567,35,1,3.532,2.1907,3.7245,2.1296
331 P,0.2023,35,1,4.157,2.7759,4.2555,
27 P,0.2421,35,1,3.3311,2.0871,3.5472,2.0299
55 P,0.2512,35,1,3.3157,2.0507,3.4861,1.9533
355 P,0.2741,35,1,3.4784,2.1725,3.6303,
18 P,0.2459,35,1,3.7605,2.3587,3.981,
31 P,0.2353,35,1,3.2391,2.0724,3.5146,1.978
77 P,0.2784,35,1,3.429,2.1217,3.5552,1.9889
195 P,0.2709,35,1,3.5571,2.1952,3.7424,
65 P,0.2677,35,1,3.2368,2.0649,3.4547,1.9679
22 P,0.1498,35,1,3.0967,1.975,3.5385,1.9766
111 P,0.2005,35,1,3.4354,2.1489,3.5917,2.0152
183 P,0.2219,35,1,3.6856,2.3924,3.9618,
307 P,0.2446,35,1,3.9125,2.4358,4.1457,
166 P,0.2263,35,1,3.8834,2.4579,4.0913,
128 P,0.3024,35,1,3.4805,2.1076,3.5473,
46 P,0.1927,35,1,3.4595,2.029,3.5977,2.0471
247 P,0.2286,35,1,3.7378,2.409,3.953,
206 P,0.2356,35,1,3.7139,2.4194,3.8459,2.2712
343 P,0.3206,35,1,3.4836,2.1827,3.7389,
379 P,0.3193,35,1,3.3885,2.1372,3.5951,
90 P,0.1386,35,1,3.5765,2.4002,3.8846,2.2208
102 P,0.129,35,1,3.6152,2.3485,4.0111,2.3078
117 P,0.0643,35,1,3.5434,2.3645,,
319 P,0.3157,35,1,3.4446,2.1058,,
6:00 PM,0.017,35,1,4.2295,2.6663,,
121 P,0.0693,35,1,3.4658,2.1715,,
77 V,0.2913,35,2,3.4779,2.1536,,
77 H,0.2894,35,3,3.4519,2.1267,3.5546,2.032
27 V,0.225,35,2,3.5855,2.2881,3.7735,2.2176
27 H,0.223,35,3,3.7091,2.234,3.9226,2.1687
112 P,0.1892,35,1,3.496,2.1082,3.7346,1.9851
112 H,0.1812,35,3,3.6554,2.3055,3.8803,2.2682
122 P,0.1025,35,1,3.7109,2.2534,4.0373,2.2592
122 H,0.1032,35,3,4.4885,2.6693,,
110 P,0.1806,35,1,3.4741,2.1429,3.7533,2.0423
110 H,0.1782,35,3,3.598,2.2301,3.8625,
120 P,0.1424,35,1,3.5902,2.259,3.8721,2.2493
120 H,0.1458,35,3,4.0847,2.4921,,
2:00 PM,0.1029,35,1,3.4795,2.1417,,
2 H,0.0981,35,3,3.8234,2.3978,,
118 P,0.0644,35,1,3.8659,2.6076,,
118 H,0.0436,35,3,4.6715,,,
4:00 PM,0.0796,35,1,3.5439,2.2278,,
4 H,0.0804,35,3,3.9533,2.4113,,
10:00 PM,0.0745,35,1,3.6007,2.6881,,
10 H,0.0848,35,3,3.9732,2.4234,,
8:00 PM,0.0665,35,1,3.6192,2.1999,,
8 H,0.0522,35,3,4.2107,2.5554,,
12:00 PM,0.0522,35,1,3.3935,2.1167,,
12 H,0.1004,35,3,3.822,2.3506,,
96 P,0.2561,35,1,3.3562,2.1332,3.5959,2.03
96 H,0.2572,35,3,3.6566,2.3281,3.8647,2.2611
124 P,0.0849,35,1,3.8931,2.4473,,
124 H,0.0911,35,3,4.399,2.6243,,
116 P,0.1372,35,1,3.5654,2.2474,,
116 H,0.1605,35,3,3.9511,2.4137,,
36 P,0.1517,35,1,3.3765,2.2105,3.7645,2.1781
36 H,0.1369,35,3,4.3486,2.6273,,
48 P,0.1998,35,1,3.3844,2.1622,3.7309,2.1734
48 H,0.2126,35,3,3.5821,2.2273,,
38 P,0.1362,35,1,3.4716,2.1694,,
38 H,0.1177,35,3,4.4472,2.5923,,
42 P,0.1145,35,1,3.3283,2.1088,,
42 H,0.1248,35,3,4.3145,2.6805,,
86 P,0.1937,35,1,3.4564,2.1499,3.7163,2.1299
86 H,0.1708,35,3,3.7985,2.3611,,
40 P,0.1578,35,1,3.4153,2.1638,,
40 H,0.0902,35,3,4.7267,2.7909,,
82 P,0.2302,35,1,3.5467,2.2512,3.8042,2.2039
112 P,0.1812,35,1,3.3912,2.1357,,
