Depth,Sample nbr,Layer type,grain density
4591.6,367 P,6,2.654
5431.5,158 P,6,2.783
4539.65,174 P,6,2.718
4526.9,147 P,6,2.646
4548.6,200 P,6,2.654
4522.75,136 P,6,2.665
4556.6,218 P,6,2.67
4564.6,236 P,6,2.665
4579.5,331 P,6,2.668
4422.9,27 P,3,2.651
4490.9,55 P,2,2.665
4587.6,355 P,6,2.667
4416.9,18 P,6,2.649
4424.6,31 P,1,2.648
4498.9,77 P,1,2.68
4546.6,195 P,6,2.641
4494.6,65 P,1,2.657
4421.5,22 P,4,2.461
4511.7,111 P,1,2.648
4542.5,183 P,6,2.677
4571.6,307 P,6,2.651
4535.6,166 P,6,2.667
4518.4,128 P,6,2.644
4487.45,46 P,2,2.66
4568.3,247 P,6,2.66
4552.7,206 P,6,2.684
4583.7,343 P,6,2.649
4595.7,379 P,6,2.645
4503.6,90 P,1,2.673
4507.7,102 P,1,2.674
4513.5,117 P,5,2.601
4575.6,319 P,6,2.657
4412.9,6:00 PM,5,2.724
4515.8,121 P,4,2.553
4511.9,112 P,2,2.642
4516.3,122 P,4,2.64
4511.5,110 P,3,2.636
4515.6,120 P,4,2.647
4411.6,2:00 PM,7,2.633
4513.65,118 P,7,2.573
4412.3,4:00 PM,7,2.639
4414.3,10:00 PM,7,2.63
4413.6,8:00 PM,7,2.608
4414.9,12:00 PM,7,2.581
4505.75,96 P,2,2.664
4516.95,124 P,4,2.638
4513.2,116 P,4,2.644
4525.9,36 P,3,2.667
4488.3,48 P,1,2.688
4426.4,38 P,4,2.651
4427.9,42 P,4,2.627
4502.2,86 P,2,2.675
4427.3,40 P,4,2.664
4500.9,82 P,1,2.696
4510.6,108 P,4,2.58
4511.9,112 P,2,2.642
4591.6,367 H,6,2.654
5431.5,158 H,6,2.783
4539.65,174 H,6,2.718
4526.9,147 H,6,2.646
4548.6,200 H,6,2.654
4522.75,136 H,6,2.665
4556.6,218 H,6,2.67
4564.6,236 H,6,2.665
4579.5,331 H,6,2.668
4422.9,27 H,3,2.651
4490.9,55 H,2,2.665
4587.6,355 H,6,2.667
4416.9,18 H,6,2.649
4424.6,31 H,1,2.648
4498.9,77 H,1,2.68
4546.6,195 H,6,2.641
4494.6,65 H,1,2.657
4421.5,22 H,4,2.461
4511.7,111 H,1,2.648
4542.5,183 H,6,2.677
4571.6,307 H,6,2.651
4535.6,166 H,6,2.667
4518.4,128 H,6,2.644
4487.45,46 H,2,2.66
4568.3,247 H,6,2.66
4552.7,206 H,6,2.684
4583.7,343 H,6,2.649
4595.7,379 H,6,2.645
4503.6,90 H,1,2.673
4507.7,102 H,1,2.674
4513.5,117 H,5,2.601
4575.6,319 H,6,2.657
4515.8,121 H,4,2.553
4511.9,112 H,2,2.642
4516.3,122 H,4,2.64
4511.5,110 H,3,2.636
4515.6,120 H,4,2.647
4513.65,118 H,7,2.573
4505.75,96 H,2,2.664
4516.95,124 H,4,2.638
4513.2,116 H,4,2.644
4525.9,36 H,3,2.667
4488.3,48 H,1,2.688
4426.4,38 H,4,2.651
4427.9,42 H,4,2.627
4502.2,86 H,2,2.675
4427.3,40 H,4,2.664
4500.9,82 H,1,2.696
4510.6,108 H,4,2.58
4511.9,112 H,2,2.642
4591.6,367 V,6,2.654
5431.5,158 V,6,2.783
4539.65,174 V,6,2.718
4526.9,147 V,6,2.646
4548.6,200 V,6,2.654
4522.75,136 V,6,2.665
4556.6,218 V,6,2.67
4564.6,236 V,6,2.665
4579.5,331 V,6,2.668
4422.9,27 V,3,2.651
4490.9,55 V,2,2.665
4587.6,355 V,6,2.667
4416.9,18 V,6,2.649
4424.6,31 V,1,2.648
4498.9,77 V,1,2.68
4546.6,195 V,6,2.641
4494.6,65 V,1,2.657
4421.5,22 V,4,2.461
4511.7,111 V,1,2.648
4542.5,183 V,6,2.677
4571.6,307 V,6,2.651
4535.6,166 V,6,2.667
4518.4,128 V,6,2.644
4487.45,46 V,2,2.66
4568.3,247 V,6,2.66
4552.7,206 V,6,2.684
4583.7,343 V,6,2.649
4595.7,379 V,6,2.645
4503.6,90 V,1,2.673
4507.7,102 V,1,2.674
4513.5,117 V,5,2.601
4575.6,319 V,6,2.657
4515.8,121 V,4,2.553
4511.9,112 V,2,2.642
4516.3,122 V,4,2.64
4511.5,110 V,3,2.636
4515.6,120 V,4,2.647
4513.65,118 V,7,2.573
4505.75,96 V,2,2.664
4516.95,124 V,4,2.638
4513.2,116 V,4,2.644
4525.9,36 V,3,2.667
4488.3,48 V,1,2.688
4426.4,38 V,4,2.651
4427.9,42 V,4,2.627
4502.2,86 V,2,2.675
4427.3,40 V,4,2.664
4500.9,82 V,1,2.696
4510.6,108 V,4,2.58
4511.9,112 V,2,2.642
