Sample nbr,Clay content,Mica content
77 P,10,5
110 P,15,5
112 P,15,5
65 P,15,5
96 P,15,5
55 P,20,5
111 P,20,5
82 P,15,5
48 P,25,5
27 P,15,10
31 P,15,10
46 P,25,10
86 P,15,15
90 P,25,15
102 P,25,15
120 P,25,15
40 P,20,15
116 P,30,15
36 P,30,20
124 P,25,25
22 P,30,25
122 P,25,25
38 P,25,30
42 P,30,30
121 P,20,30
77 V,10,5
110 V,15,5
112 V,15,5
65 V,15,5
96 V,15,5
55 V,20,5
111 V,20,5
82 V,15,5
48 V,25,5
27 V,15,10
31 V,15,10
46 V,25,10
86 V,15,15
90 V,25,15
102 V,25,15
120 V,25,15
40 V,20,15
116 V,30,15
36 V,30,20
124 V,25,25
22 V,30,25
122 V,25,25
38 V,25,30
42 V,30,30
121 V,20,30
77 H,10,5
110 H,15,5
112 H,15,5
65 H,15,5
96 H,15,5
55 H,20,5
111 H,20,5
82 H,15,5
48 H,25,5
27 H,15,10
31 H,15,10
46 H,25,10
86 H,15,15
90 H,25,15
102 H,25,15
120 H,25,15
40 H,20,15
116 H,30,15
36 H,30,20
124 H,25,25
22 H,30,25
122 H,25,25
38 H,25,30
42 H,30,30
121 H,20,30
