Pressure,Load,Direction,Vp_dry,Vs_dry,Vp_sat,Vs_sat,Quartz,Clay
5,down1,down,1.22,0.77,2.12,0.63,100,0
7.5,up1,up,1.28,0.78,2.12,0.65,100,0
7.5,down1,down,1.33,0.84,2.16,0.71,100,0
7.5,up2,up,1.29,0.8,2.16,0.69,100,0
10,up1,up,1.35,0.84,2.16,0.71,100,0
10,down1,down,1.45,0.89,2.22,0.76,100,0
10,up2,up,1.36,0.86,2.18,0.74,100,0
15,up1,up,1.48,0.89,2.26,0.79,100,0
15,down1,down,1.56,0.95,2.27,0.83,100,0
15,up2,up,1.5,0.92,2.25,0.8,100,0
20,up1,up,1.56,0.93,2.28,0.81,100,0
20,down1,down,1.64,0.99,2.31,0.98,100,0
20,up2,up,1.59,0.97,2.3,0.85,100,0
30,up1,up,1.75,1.03,2.41,1.05,100,0
30,down1,down,1.83,1.08,2.44,1.07,100,0
30,up2,up,1.77,1.09,2.38,1.05,100,0
40,up1,up,1.87,1.11,2.48,1.12,100,0
40,down1,down,1.92,1.12,2.51,1.13,100,0
40,up2,up,1.92,1.16,2.49,1.12,100,0
50,up1,up,1.99,1.16,2.54,1.26,100,0
50,down1,down,1.99,1.16,2.54,1.26,100,0
50,up2,up,2.03,1.22,2.55,1.27,100,0
5,down1,down,1.1,0.74,2.18,0.59,95,5
7.5,down1,down,1.2,0.81,2.23,0.67,95,5
10,down1,down,1.36,0.87,2.26,0.72,95,5
15,up1,up,1.49,0.91,2.28,0.74,95,5
15,down1,down,1.49,0.94,2.31,0.78,95,5
20,up1,up,1.59,0.96,2.3,0.78,95,5
20,down1,down,1.59,0.99,2.36,0.82,95,5
30,up1,up,1.78,1.14,2.45,0.87,95,5
30,down1,down,1.78,1.14,2.47,0.9,95,5
40,up1,up,1.91,1.2,2.52,0.93,95,5
40,down1,down,1.92,1.21,2.5,0.94,95,5
50,up1,up,2,1.25,2.63,0.98,95,5
50,down1,down,2,1.25,2.63,0.98,95,5
7.5,down1,down,1.33,0.82,2.33,0.67,90,10
10,down1,down,1.4,0.85,2.38,0.74,90,10
15,up1,up,1.55,0.91,2.38,0.76,90,10
15,down1,down,1.51,0.97,2.44,0.79,90,10
20,up1,up,1.62,0.96,2.41,0.78,90,10
20,down1,down,1.65,1.02,2.5,0.83,90,10
30,up1,up,1.81,1.09,2.55,0.87,90,10
30,down1,down,1.81,1.13,2.62,0.91,90,10
40,up1,up,1.95,1.19,2.66,0.93,90,10
40,down1,down,1.95,1.2,2.7,0.96,90,10
50,up1,up,2.08,1.28,2.74,0.98,90,10
50,down1,down,2.08,1.28,2.74,0.98,90,10
7.5,down1,down,1.24,0.81,2.43,0.6,85,15
10,up1,up,1.39,0.85,2.37,0.61,85,15
10,down1,down,1.32,0.87,2.43,0.74,85,15
15,up1,up,1.52,0.91,2.42,0.74,85,15
15,down1,down,1.5,1.02,2.48,0.8,85,15
20,up1,up,1.62,1.04,2.42,0.79,85,15
20,down1,down,1.58,1.06,2.51,0.83,85,15
30,up1,up,1.81,1.13,2.58,0.87,85,15
30,down1,down,1.81,1.15,2.63,0.93,85,15
40,up1,up,1.97,1.21,2.67,0.95,85,15
40,down1,down,1.97,1.22,2.74,0.98,85,15
50,up1,up,2.12,1.28,2.8,1.02,85,15
50,down1,down,2.12,1.28,2.8,1.02,85,15
2.5,down1,down,1.23,0.68,2.19,0.44,80,20
5,up1,up,1.11,0.64,2.19,0.53,80,20
5,down1,down,1.28,0.77,2.3,0.58,80,20
7.5,up1,up,1.33,0.68,2.27,0.66,80,20
7.5,down1,down,1.3,0.82,2.4,0.71,80,20
10,up1,up,1.38,0.71,2.34,0.72,80,20
10,down1,down,1.37,0.9,2.46,0.76,80,20
15,up1,up,1.48,0.78,2.38,0.76,80,20
15,down1,down,1.97,0.97,2.47,0.81,80,20
20,up1,up,1.54,0.81,2.44,0.82,80,20
20,down1,down,2.12,1.04,2.52,0.85,80,20
30,up1,up,2.01,1.09,2.56,0.9,80,20
30,down1,down,2.28,1.14,2.62,0.93,80,20
40,up1,up,2.28,1.21,2.7,0.97,80,20
40,down1,down,2.38,1.25,2.74,0.99,80,20
50,up1,up,2.44,1.34,2.8,1.02,80,20
50,down1,down,2.44,1.34,2.8,1.02,80,20
7.5,up1,up,1.36,0.68,2.2,0.59,75,25
7.5,down1,down,1.43,0.77,2.34,0.63,75,25
10,up1,up,1.39,0.71,2.25,0.64,75,25
10,down1,down,1.5,0.84,2.41,0.68,75,25
15,up1,up,1.59,0.78,2.29,0.68,75,25
15,down1,down,1.9,0.94,2.46,0.73,75,25
20,up1,up,1.7,0.83,2.43,0.74,75,25
20,down1,down,1.91,0.94,2.6,0.83,75,25
30,up1,up,1.92,0.91,2.46,0.78,75,25
30,down1,down,2.05,0.99,2.66,0.86,75,25
40,up1,up,2.04,0.99,2.64,0.85,75,25
40,down1,down,2.17,1.04,2.75,0.9,75,25
50,up1,up,2.26,1.08,2.77,0.91,75,25
50,down1,down,2.26,1.08,2.77,0.91,75,25
5,down1,down,1.04,0.67,2.36,0.58,70,30
7.5,up1,up,1.35,0.67,2.28,0.61,70,30
7.5,down1,down,1.36,0.73,2.42,0.65,70,30
10,up1,up,1.36,0.72,2.33,0.66,70,30
10,down1,down,1.45,0.79,2.52,0.71,70,30
15,up1,up,1.52,0.8,2.4,0.7,70,30
15,down1,down,1.64,0.88,2.59,0.89,70,30
20,up1,up,1.65,0.85,2.41,0.73,70,30
20,down1,down,1.75,0.91,2.61,0.93,70,30
30,up1,up,1.85,0.94,2.55,0.92,70,30
30,down1,down,1.95,0.99,2.69,0.99,70,30
40,up1,up,2.02,1.01,2.73,1.02,70,30
40,down1,down,2.1,1.05,2.83,1.06,70,30
50,up1,up,2.17,1.06,2.86,1.09,70,30
50,down1,down,2.17,1.06,2.86,1.09,70,30
5,down1,down,1.4,0.84,2.18,0.9,50,50
10,up1,up,1.41,0.78,2.36,0.79,50,50
10,down1,down,1.71,0.95,2.44,0.99,50,50
15,up1,up,1.61,0.88,2.42,0.85,50,50
15,down1,down,1.83,1.01,2.57,1.03,50,50
20,up1,up,1.71,0.93,2.49,0.9,50,50
20,down1,down,1.89,1.03,2.63,1.04,50,50
30,up1,up,1.93,1.02,2.67,1.02,50,50
30,down1,down,2.06,1.1,2.86,1.12,50,50
40,up1,up,2.09,1.09,2.86,1.1,50,50
50,up1,up,2.24,1.17,2.96,1.17,50,50
